Gene	SeqId	Protein..short.name.	UniProt	Ensembl.Gene.ID	Chr	Start	End
CDH11	16305_10	Cadherin-11	P55287	ENSG00000140937	16	64943752	65126112
CDH11	7763_25	Cadherin-11	P55287	ENSG00000140937	16	64943752	65126112
CDH12	19388_2	Cadherin-12	P55289	ENSG00000154162	5	21750672	22853622
CDH15	11215_6	CAD15	P55291	ENSG00000129910	16	89171766	89195492
CDH15	5410_53	CAD15	P55291	ENSG00000129910	16	89171766	89195492
CDH17	16613_3	CAD17	Q12864	ENSG00000079112	8	94127170	94217303
CDH2	3797_1	Cadherin-2	P19022	ENSG00000170558	18	27950965	28177446
CDH3	2643_57	P-Cadherin	P22223	ENSG00000062038	16	68636188	68722616
CDH5	2819_23	Cadherin-5	P33151	ENSG00000179776	16	66366621	66404786
CDH6	16312_45	Cadherin-6	P55285	ENSG00000113361	5	31193749	31329146
CDH7	7959_34	CADH7	Q9ULB5	ENSG00000081138	18	65750251	65890341
CDH8	16021_30	Cadherin-8	P55286	ENSG00000150394	16	61647241	62037035
CDHR1	8372_29	CDHR1	Q96JP9	ENSG00000148600	10	84194634	84219621
CDHR3	8222_49	CDHR3	Q6ZTQ4	ENSG00000128536	7	105876795	106033773
CDHR5	9962_1	MUCDL	Q9HBB8	ENSG00000099834	11	616564	626078
CDK2|CCNA2	3357_67	CDK2/cyclin A	P24941|P20248	ENSG00000123374|ENSG00000145386	X	NA	NA
CDK2AP1	9450_18	CDKA1	O14519	ENSG00000111328	12	123260970	123272334
CDK2AP2	18227_3	CDKA2	O75956	ENSG00000167797	11	67506496	67508649
CDK5|CDK5R1	3358_51	CDK5/p35	Q00535|Q15078	ENSG00000164885|ENSG00000176749	X	NA	NA
CDK8|CCNC	3359_11	CDK8/cyclin C	P49336|P24863	ENSG00000132964|ENSG00000112237	X	NA	NA
CDKN1A	18291_8	p21	P38936	ENSG00000124762	6	36676459	36687339
CDKN1B	3719_2	p27Kip1	P46527	ENSG00000111276	12	12715057	12722371
CDKN2B	9874_28	p15-INK4b	P42772	ENSG00000147883	9	22002902	22009363
CDKN2C	12521_3	CDN2C	P42773	ENSG00000123080	1	50960744	50974633
CDKN2D	12376_85	p19-INK4d	P55273	ENSG00000129355	19	10566461	10569059
CDKN3	14178_18	CDKN3	Q16667	ENSG00000100526	14	54396848	54420218
CDNF	4962_52	ARMEL	Q49AH0	ENSG00000185267	10	14819249	14838575
CDON	4541_49	CDON	Q4KMG0	ENSG00000064309	11	125955795	126063335
CDSN	7085_81	CDSN	Q15517	ENSG00000237165	6	31115089	31120446
CDY1	7097_8	CDY1	Q9Y6F8	ENSG00000172352	X	24045229	24048019
CDYL2	10752_8	CDYL2	Q8N8U2	ENSG00000166446	16	80597905	80804329
CEACAM19	7048_4	CEA19	Q7Z692	ENSG00000186567	19	44662277	44684359
CEACAM21	7204_1	CEA21	Q3KPI0	ENSG00000007129	19	41549517	41586844
CEACAM3	8999_19	CEAM3	P40198	ENSG00000170956	19	41796436	41811553
CEACAM4	10910_6	CEAM4	O75871	ENSG00000105352	19	41618970	41627074
CEACAM7	7184_13	CEAM7	Q14002	ENSG00000007306	19	41673306	41706976
CEACAM8	18873_8	CEAM8	P31997	ENSG00000124469	19	42580240	42595055
CEBPA	18874_66	CEBPA	P49715	ENSG00000245848	19	33299933	33302564
CEBPB	15675_3	CEBPB	P17676	ENSG00000172216	20	50190733	50192689
CEBPG	19572_10	CEBPG	P53567	ENSG00000153879	19	33373329	33382686
CECR1	6077_63	CECR1	Q9NZK5	ENSG00000093072	22	17178790	17258235
CEL	9796_4	CEL	P19835	ENSG00000170835	9	133061977	133071861
CELA1	6107_3	ELA1	Q9UNI1	ENSG00000139610	12	51328442	51346679
CELA2A	7140_1	ELA2A	P08217	ENSG00000142615	1	15456727	15472091
CELA3B	6357_83	ELA3B	P08861	ENSG00000219073	1	21977020	21998642
CELF2	7245_2	CELF2	O95319	ENSG00000048740	10	10798396	11336675
CENPV	8817_29	CENPV	Q7Z7K6	ENSG00000166582	17	16342533	16353656
CENPW	8864_59	CENPW	Q5EE01	ENSG00000203760	6	126340173	126348875
CER1	6230_56	CER1	O95813	ENSG00000147869	9	14719723	14722717
CERS5	13494_6	CERS5	Q8N5B7	ENSG00000139624	12	50129305	50167533
CES1	15487_164	"carboxylesterase, liver"	P23141	ENSG00000198848	16	55802850	55833337
CETN2	13078_3	CETN2	P41208	ENSG00000147400	X	152826994	152830757
CETN3	17410_5	CETN3	O15182	ENSG00000153140	5	90392260	90409786
CFAP45	6553_68	CCD19	Q9UL16	ENSG00000213085	1	159872364	159900165
CFB	4129_72	Factor B	P00751	ENSG00000241534	6	31945649	31952084
CFC1	3294_55	CFC1	P0CG37	ENSG00000136698	2	130592167	130599575
CFD	2946_52	Factor D	P00746	ENSG00000197766	19	859642	863630
CFH	4159_130	Factor H	P08603	ENSG00000000971	1	196651877	196747504
CFHR1	15468_14	FHR1	Q03591	ENSG00000244414	1	196819756	196832189
CFHR2	15584_9	FHR2	P36980	ENSG00000080910	1	196943771	196959226
CFHR3	16836_1	FHR3	Q02985	ENSG00000116785	1	196774794	196795406
CFHR4	6471_53	FHR4	Q92496	ENSG00000134365	1	196850240	196918972
CFHR5	16055_3	complement factor H-related 5	Q9BXR6	ENSG00000134389	1	196977555	197009674
CFI	2567_5	Factor I	P05156	ENSG00000205403	4	109740693	109802179
CFL1	4203_50	Cofilin-1	P23528	ENSG00000172757	11	65823021	65862026
CFL2	15339_32	COF2	Q9Y281	ENSG00000165410	14	34706768	34714823
CFLAR	16837_20	FLIP	O15519	ENSG00000003402	2	201116103	201176687
CFP	2960_66	Properdin	P27918	ENSG00000126759	X	47623172	47630305
CFTR	7717_95	CFTR	P13569	ENSG00000001626	7	117465783	117715971
CGA	14056_4	Glycoprotein hormones a-chain	P01215	ENSG00000135346	6	87085497	87095406
CGA|CGB	4914_10	HCG	P01215|P01233	ENSG00000135346|ENSG00000213030	X	NA	NA
CGA|FSHB	3032_11	FSH	P01215|P01225	ENSG00000135346|ENSG00000131808	X	NA	NA
CGA|LHB	2953_31	Luteinizing hormone	P01215|P01229	ENSG00000135346|ENSG00000104826	X	NA	NA
CGA|TSHB	3521_16	TSH	P01215|P01222	ENSG00000135346|ENSG00000134200	X	NA	NA
CGB2	6213_10	CGB2	Q6NT52	ENSG00000204748	19	49031911	49033238
CGREF1	6257_56	CGRE1	Q99674	ENSG00000138028	2	27098888	27119115
CHAD	13460_4	CHAD	O15335	ENSG00000136457	17	50464495	50468966
CHCHD10	11270_17	CHC10	Q8WYQ3	ENSG00000250479	22	23765833	23768443
CHD7	14005_2	CHD7	Q9P2D1	ENSG00000171316	8	60678777	60868028
CHEK1	2853_68	CHK1	O14757	ENSG00000149554	11	125625135	125676255
CHEK2	19328_51	Chk2	O96017	ENSG00000183765	22	28687742	28742422
CHFR	11320_29	CHFR	Q96EP1	ENSG00000072609	12	132822186	132956304
CHGA	8476_11	CgA	P10645	ENSG00000100604	14	92923079	92935293
CHGB	8235_48	SCG1	P05060	ENSG00000089199	20	5911429	5925361
CHI3L1	11104_13	YKL-40	P36222	ENSG00000133048	1	203178930	203186749
CHI3L2	9383_24	CH3L2	Q15782	ENSG00000064886	1	111200770	111243440
CHIA	16591_71	CHIA	Q9BZP6	ENSG00000134216	1	111290861	111320566
CHIT1	3600_2	Chitotriosidase-1	Q13231	ENSG00000133063	1	203212826	203273641
CHKB	7761_125	CHKB	Q9Y259	ENSG00000100288	22	50578948	50601455
CHL1	8958_51	CHL1	O00533	ENSG00000134121	3	196595	409417
CHMP2A	17728_61	CHM2A	O43633	ENSG00000130724	19	58551565	58555124
CHMP2B	17350_13	CHM2B	Q9UQN3	ENSG00000083937	3	87227270	87255548
CHP1	12458_79	CHP1	Q99653	ENSG00000187446	15	41230838	41281890
CHRD	13438_115	CHRD	Q9H2X0	ENSG00000090539	3	184380072	184390736
CHRDL1	3362_61	CRDL1	Q9BU40	ENSG00000101938	X	110673856	110795819
CHRDL2	6086_15	CRDL2	Q6WN34	ENSG00000054938	11	74696428	74731385
CHST1	7803_4	CHST1	O43916	ENSG00000175264	11	45648876	45665622
CHST11	7779_86	CHSTB	Q9NPF2	ENSG00000171310	12	104455294	104762014
CHST12	6626_81	CHSTC	Q9NRB3	ENSG00000136213	7	2403559	2448483
CHST14	7262_191	CHSTE	Q8NCH0	ENSG00000169105	15	40470997	40474571
CHST15	4469_78	ST4S6	Q7LFX5	ENSG00000182022	10	124007665	124093607
CHST2	18863_176	CHST2	Q9Y4C5	ENSG00000175040	3	143119330	143124014
CHST3	7189_55	CHST3	Q7LGC8	ENSG00000122863	10	71964364	72013564
CHST4	18876_77	CHST4	Q8NCG5	ENSG00000140835	16	71525232	71538746
CHST5	7020_13	CHST5	Q9GZS9	ENSG00000135702	16	75528534	75535247
CHST6	4429_51	CHST6	Q9GZX3	ENSG00000183196	16	75472051	75495384
CHST9	11646_4	Carbohydrate sulfotransferase 9	Q7L1S5	ENSG00000154080	18	26906480	27185317
CILP	5717_2	CILP	O75339	ENSG00000138615	15	65194757	65211488
CILP2	8841_65	CILP2	Q8IUL8	ENSG00000160161	19	19538247	19546659
CINP	19383_131	CINP	Q9BW66	ENSG00000100865	14	102341101	102362916
CIRBP	12724_81	CIRBP	Q14011	ENSG00000099622	19	1259383	1274880
CISD1	7745_3	ZCD1	Q9NZ45	ENSG00000122873	10	58269162	58289586
CISD2	8094_20	CISD2	Q8N5K1	ENSG00000145354	4	102868977	102889242
CKAP2	5345_51	CKAP2	Q8WWK9	ENSG00000136108	13	52455428	52476628
CKAP4	7221_56	CKAP4	Q07065	ENSG00000136026	12	106237876	106304279
CKB	3800_71	CK-BB	P12277	ENSG00000166165	14	103519658	103523111
CKB|CKM	3714_49	CK-MB	P12277|P06732	ENSG00000166165|ENSG00000104879	X	NA	NA
CKMT1A	15542_19	KCRU	P12532	ENSG00000237289	15	43692885	43699222
CKMT2	18197_97	KCRS	P17540	ENSG00000131730	5	81233284	81266397
CKS1B	12530_14	CKS-1	P61024	ENSG00000173207	1	154974652	154979249
CLC	11094_104	LPPL	Q05315	ENSG00000105205	19	39731249	39738028
CLCA1	10496_11	CaCC	A8K7I4	ENSG00000016490	1	86468367	86500289
CLCA2	8950_4	CLCA2	Q9UQC9	ENSG00000137975	1	86424085	86456558
CLCNKB	13683_18	CLCKB	P51801	ENSG00000184908	1	16043735	16057308
CLEC10A	10955_4	CLC10	Q8IUN9	ENSG00000132514	17	7074536	7080307
CLEC11A	4500_50	SCGF-alpha	Q9Y240	ENSG00000105472	19	50723328	50725718
CLEC11A	2966_65	SCGF-beta	Q9Y240	ENSG00000105472	19	50723328	50725718
CLEC12A	11187_11	CL12A	Q5QGZ9	ENSG00000172322	12	9951315	9995694
CLEC1B	4332_6	CLC1B	Q9P126	ENSG00000165682	12	9985641	10013424
CLEC2A	10953_14	CLC2A	Q6UVW9	ENSG00000188393	12	9898672	9932381
CLEC2B	7786_83	CLC2B	Q92478	ENSG00000110852	12	9852983	9870136
CLEC2D	7054_87	CLC2D	Q9UHP7	ENSG00000069493	12	9664968	9699555
CLEC2L	8242_9	CLC2L	P0C7M8	ENSG00000236279	7	139523855	139544984
CLEC3B	5701_81	Tetranectin	P05452	ENSG00000163815	3	45001547	45036071
CLEC4A	8853_2	CLC4A	Q9UMR7	ENSG00000111729	12	8123631	8138607
CLEC4C	9094_5	CLC4C	Q8WTT0	ENSG00000198178	12	7729414	7751605
CLEC4D	7752_31	CLC4D	Q8WXI8	ENSG00000166527	12	8509474	8522366
CLEC4G	10781_19	CLC4G	Q6UXB4	ENSG00000182566	19	7728956	7733906
CLEC4M	3030_3	DC-SIGNR	Q9H2X3	ENSG00000104938	19	7763148	7769605
CLEC6A	6911_103	CLC6A	Q6EIG7	ENSG00000205846	12	8455925	8478330
CLEC7A	3603_60	CLC7A	Q9BXN2	ENSG00000172243	12	10116776	10130258
CLGN	10600_24	CLGN	O14967	ENSG00000153132	4	140388454	140427968
CLIC1	5013_2	NCC27	O00299	ENSG00000230685	6	31730580	31739763
CLIC2	17837_5	CLIC2	O15247	ENSG00000155962	X	155276211	155334657
CLIC4	15314_49	CLIC4	Q9Y696	ENSG00000169504	1	24745356	24844324
CLIC5	12475_48	CLIC5	Q9NZA1	ENSG00000112782	6	45898450	46080395
CLINT1	11659_31	EPN4	Q14677	ENSG00000113282	5	157785742	157859175
CLK2	11327_56	CLK2	P49760	ENSG00000261893	1	155262867	155278491
CLMP	9585_80	ACAM	Q9H6B4	ENSG00000166250	11	123069864	123195281
CLMP	10440_26	ACAM	Q9H6B4	ENSG00000166250	11	123069864	123195281
CLN5	8874_53	CLN5	O75503	ENSG00000102805	13	76990659	77019143
CLPP	17196_5	ClpP endopeptidase	Q16740	ENSG00000125656	19	6361451	6368908
CLPS	5749_53	COL	P04118	ENSG00000137392	6	35794981	35797344
CLPSL1	9526_3	COLL1	A2RUU4	ENSG00000204140	6	35781016	35793675
CLPSL2	7767_1	CF126	Q6UWE3	ENSG00000196748	6	35776593	35779552
CLSTN1	15521_4	Alcadein alpha-1	O94985	ENSG00000171603	1	9729025	9824526
CLSTN2	18882_7	CSTN2	Q9H4D0	ENSG00000158258	3	139935184	140577397
CLSTN3	6291_55	Alcadein-beta	Q9BQT9	ENSG00000139182	12	7129697	7158945
CLTA	19257_11	CLCA	P09496	ENSG00000122705	9	36190855	36304781
CLTC	13711_10	CLH1	Q00610	ENSG00000141367	17	59619688	59696956
CLU	4542_24	Clusterin	P10909	ENSG00000120885	8	27596916	27615031
CMA1	3423_59	Chymase	P23946	ENSG00000092009	14	24505352	24508265
CMBL	19115_13	CMBL	Q96DG6	ENSG00000164237	5	10275874	10308026
CMPK1	18243_9	Cytidylate kinase	P30085	ENSG00000162368	1	47333796	47378839
CNDP1	5456_59	CNDP1	Q96KN2	ENSG00000150656	18	74534439	74587212
CNDP2	3192_3	Glutamate carboxypeptidase	Q96KP4	ENSG00000133313	18	74495815	74523454
CNEP1R1	13532_25	NEPR1	Q8N9A8	ENSG00000205423	16	50024409	50037088
CNGA2	12872_35	CNGA2	Q16280	ENSG00000183862	X	151734746	151745564
CNN1	15566_10	Calponin-1	P51911	ENSG00000130176	19	11538716	11550323
CNN2	18877_15	CNN2	Q99439	ENSG00000064666	19	1026580	1039068
CNOT1	13482_14	CNOT1	A5YKK6	ENSG00000125107	16	58519950	58629886
CNP	6609_22	CN37	P09543	ENSG00000173786	17	41966740	41977731
CNPY3	17327_3	CNPY3	Q9BT09	ENSG00000137161	6	42929191	42939287
CNPY4	15465_79	CNPY4	Q8N129	ENSG00000166997	7	100119612	100125511
CNRIP1	18218_48	CB032	Q96F85	ENSG00000119865	2	68284170	68320051
CNTF	3489_9	CNTF	P26441	ENSG00000242689	11	58622672	58625733
CNTFR	14101_2	CNTFR alpha	P26992	ENSG00000122756	9	34551431	34590140
CNTN1	2974_61	contactin-1	Q12860	ENSG00000018236	12	40692441	41072418
CNTN2	3296_92	CNTN2	Q02246	ENSG00000184144	1	205042936	205078284
CNTN4	3298_52	Contactin-4	Q8IWV2	ENSG00000144619	3	2098812	3057956
CNTN5	3299_29	Contactin-5	O94779	ENSG00000149972	11	99020952	100358885
CNTNAP2	6965_19	CNTP2	Q9UHC6	ENSG00000174469	7	146116001	148420998
CNTNAP5	9044_1	CNTP5	Q8WYK1	ENSG00000155052	2	124025286	124915287
COA3	7888_58	CCD56	Q9Y2R0	ENSG00000183978	17	42795146	42798704
COCH	7227_75	COCH	O43405	ENSG00000100473	14	30874513	30895065
COG8	9543_131	COG8	Q96MW5	ENSG00000213380	16	69320139	69339667
COL10A1	15653_9	COAA1	Q03692	ENSG00000123500	6	116118922	116158747
COL11A2	11278_4	COL11A2	P13942	ENSG00000230930	6	33162680	33192499
COL13A1	6570_1	CODA1	Q5TAT6	ENSG00000197467	10	69801930	69964275
COL15A1	8974_172	COFA1	P39059	ENSG00000204291	9	98943178	99070792
COL18A1	2201_17	Endostatin	P39060	ENSG00000182871	21	45405136	45513720
COL1A1	13484_69	CO1A1	P02452	ENSG00000108821	17	50183288	50201632
COL1A1	11140_56	CO1A1	P02452	ENSG00000108821	17	50183288	50201632
COL20A1	8804_39	COKA1	Q9P218	ENSG00000101203	20	63293185	63334851
COL23A1	4543_65	CONA1	Q86Y22	ENSG00000050767	5	178237617	178590555
COL25A1	7006_4	COPA1	Q9BXS0	ENSG00000188517	4	108810720	109302657
COL28A1	10702_1	COSA1	Q2UY09	ENSG00000215018	7	7356202	7535853
COL2A1	18875_125	Chondrocalcin	P02458	ENSG00000139219	12	47972964	48004486
COL2A1	15569_15	Collagen II	P02458	ENSG00000139219	12	47972964	48004486
COL3A1	18880_81	Collagen Type III	P02461	ENSG00000168542	2	188974319	189012746
COL4A3BP	13950_9	C43BP	Q9Y5P4	ENSG00000113163	5	75368485	75512138
COL4A3BP	13535_2	C43BP	Q9Y5P4	ENSG00000113163	5	75368485	75512138
COL6A1	16828_8	Collagen a1(VI)	P12109	ENSG00000142156	21	45981736	46005050
COL6A2	16753_46	CO6A2	P12110	ENSG00000142173	21	46098096	46132849
COL6A3	11196_31	Collagen alpha-3(VI)	P12111	ENSG00000163359	2	237324002	237414375
COL6A3	10511_10	Collagen alpha-3(VI)	P12111	ENSG00000163359	2	237324002	237414375
COL6A5	11155_16	CO6A5	A8TX70	ENSG00000172752	3	130345515	130484844
COL8A1	4807_13	CO8A1	P27658	ENSG00000144810	3	99638474	99799226
COL9A1	6631_17	CO9A1	P20849	ENSG00000112280	6	70215060	70303083
COL9A1	15466_30	CO9A1	P20849	ENSG00000112280	6	70215060	70303083
COLEC10	6558_5	COL10	Q9Y6Z7	ENSG00000184374	8	118995451	119106582
COLEC11	4430_44	Collectin Kidney 1	Q9BWP8	ENSG00000118004	2	3594831	3644644
COLEC12	5457_5	COLEC12	Q5KU26	ENSG00000158270	18	316739	500722
COLGALT1	5638_23	GT251	Q8NBJ5	ENSG00000130309	19	17555593	17583162
COLGALT2	7234_12	GT252	Q8IYK4	ENSG00000198756	1	183929853	184037729
COMMD1	12509_115	COMD1	Q8N668	ENSG00000173163	2	61888723	62147247
COMMD7	2823_7	COMMD7	Q86VX2	ENSG00000149600	20	32702690	32743997
COMMD9	17683_2	COMD9	Q9P000	ENSG00000110442	11	36269283	36289449
COMP	8043_153	COMP	P49747	ENSG00000105664	19	18782772	18791314
COMT	18382_109	Catechol O-methyltransferase	P21964	ENSG00000093010	22	19941606	19969975
COPE	19310_81	COPE	O14579	ENSG00000105669	19	18899513	18919397
COPS2	14029_42	CSN2	P61201	ENSG00000166200	15	49106067	49155661
COPS7B	12384_92	CSN7B	Q9H9Q2	ENSG00000144524	2	231781670	231809254
COTL1	4905_63	Coactosin-like protein	Q14019	ENSG00000103187	16	84565593	84618077
COX4I2	7850_1	COX42	Q96KJ9	ENSG00000131055	20	31637887	31645006
COX5A	18226_148	COX5A	P20674	ENSG00000178741	15	74919790	74938168
COX5B	7887_57	COX5B	P10606	ENSG00000135940	2	97646039	97648383
COX6A2	10535_25	CX6A2	Q02221	ENSG00000156885	16	31427730	31428428
COX6C	8903_1	COX6C	P09669	ENSG00000164919	8	99873199	99894062
COX7A1	8390_25	CX7A1	P24310	ENSG00000161281	19	36150921	36152869
COX7A2L	9590_10	COX7R	O14548	ENSG00000115944	2	42333545	42425088
CP	17453_34	Ceruloplasmin	P00450	ENSG00000047457	3	149162409	149222055
CPA2	9276_7	CBPA2	P48052	ENSG00000158516	7	130266826	130289798
CPA4	9267_2	CBPA4	Q9UI42	ENSG00000128510	7	130293133	130324180
CPB1	15375_49	Carboxypeptidase B1	P15086	ENSG00000153002	3	148791101	148860187
CPB2	3518_54	TAFI	Q96IY4	ENSG00000080618	13	46053185	46105076
CPD	7917_17	CBPD	O75976	ENSG00000108582	17	30378904	30469989
CPE	5343_74	CBPE	P16870	ENSG00000109472	4	165361193	165498320
CPLX1	18332_17	CPLX1	O14810	ENSG00000168993	4	784956	826198
CPLX2	15321_8	CPLX2	Q6PUV4	ENSG00000145920	5	175796309	175884020
CPM	9416_77	CBPM	P14384	ENSG00000135678	12	68842196	68971570
CPN1	7142_5	CBPN	P15169	ENSG00000120054	10	100042192	100081877
CPN2	6415_90	CPN2	P22792	ENSG00000178772	3	194339764	194351328
CPNE1	5346_24	CPNE1	Q99829	ENSG00000214078	20	35626030	35664956
CPOX	18241_18	HEM6	P36551	ENSG00000080819	3	98521131	98593723
CPQ	9394_19	Aminopeptidase	Q9Y646	ENSG00000104324	8	96645226	97149654
CPT1B	11709_29	CPT1B	Q92523	ENSG00000205560	22	50568860	50578465
CPVL	8891_7	CPVL	Q9H3G5	ENSG00000106066	7	28995230	29195451
CPXM1	6255_74	CPXM1	Q96SM3	ENSG00000088882	20	2794068	2800637
CPZ	6493_9	CBPZ	Q66K79	ENSG00000109625	4	8592659	8619759
CR1	19556_12	Complement receptor type 1	P17927	ENSG00000203710	1	207496146	207640647
CR2	15570_99	Complement receptor type 2	P20023	ENSG00000117322	1	207454229	207489895
CRABP1	11967_23	RABP1	P29762	ENSG00000166426	15	78340323	78348230
CRABP2	11696_7	RABP2	P29373	ENSG00000143320	1	156699605	156705816
CRADD	15322_35	CRADD	P78560	ENSG00000169372	12	93677374	93894840
CRAT	12637_7	CACP	P43155	ENSG00000095321	9	129094809	129111189
CRCP	17771_35	RPC9	O75575	ENSG00000241258	7	66114603	66154568
CREB3L1	11198_37	CR3L1	Q96BA8	ENSG00000157613	11	46277660	46321422
CREB3L2	17336_54	CR3L2	Q70SY1	ENSG00000182158	7	137874978	138002067
CREB3L4	11308_8	CR3L4	Q8TEY5	ENSG00000143578	1	153967533	153974363
CREBBP	13614_6	CREB-binding protein	Q92793	ENSG00000005339	16	3725053	3880726
CREG1	9357_4	CREG1	O75629	ENSG00000143162	1	167529676	167553767
CRELD1	7628_40	CREL1	Q96HD1	ENSG00000163703	3	9933821	9945413
CRH	19637_9	CRH	P06850	ENSG00000147571	8	66176381	66178725
CRH	5614_44	CRH	P06850	ENSG00000147571	8	66176381	66178725
CRHBP	6039_24	CRHBP	P24387	ENSG00000145708	5	76952712	76981158
CRIM1	8699_43	CRIM1	Q9NZV1	ENSG00000150938	2	36355925	36551135
CRIM1	15492_1	CRIM1	Q9NZV1	ENSG00000150938	2	36355925	36551135
CRIP1	18275_5	CRIP1	P50238	ENSG00000213145	14	105486316	105488947
CRIP2	9053_16	CRIP2	P52943	ENSG00000182809	14	105472961	105480170
CRIPT	19294_26	CRIPT	Q9P021	ENSG00000119878	2	46616415	46625742
CRISP2	9282_12	CRIS2	P16562	ENSG00000124490	6	49692357	49713590
CRISP3	3187_52	CRIS3	P54108	ENSG00000096006	6	49727383	49744437
CRISPLD2	5691_2	CRLD2	Q9H0B8	ENSG00000103196	16	84819983	84920768
CRK	4976_57	CRK	P46108	ENSG00000167193	17	1420688	1463162
CRKL	9877_28	CRKL	P46109	ENSG00000099942	22	20917425	20953749
CRLF1	14747_9	CRLF1	O75462	ENSG00000006016	19	18572219	18607741
CRLF1|CLCF1	2607_54	CLF-1/CLC Complex	O75462|Q9UBD9	ENSG00000006016|ENSG00000175505	X	NA	NA
CRLF2	13694_24	TSLP R	Q9HC73	ENSG00000205755	X	1190490	1212723
CRMP1	18323_39	DRP-1	Q14194	ENSG00000072832	4	5748083	5893058
CRNN	17738_7	CRNN	Q9UBG3	ENSG00000143536	1	152409242	152414263
CROT	13929_27	OCTC	Q9UKG9	[Q9UKG9-3	7	87345680	87399795
CRP	4337_49	CRP	P02741	ENSG00000132693	1	159712288	159714589
CRTAC1	5632_6	CRAC1	Q9NQ79	ENSG00000095713	10	97864999	98030828
CRTAM	7968_15	CRTAM	O95727	ENSG00000109943	11	122838499	122872639
CRYAA	10087_10	Alpha crystallin A chain	P02489	ENSG00000160202	21	43169007	43172805
CRYBB1	17751_68	CRBB1	P53674	ENSG00000100122	22	26599277	26618088
CRYBB2	10000_28	CRBB2	P43320	ENSG00000244752	22	25219521	25231869
CRYGD	12366_16	CRGD	P07320	ENSG00000118231	2	208121606	208124501
CRYGS	19311_15	CRBS	P22914	ENSG00000213139	3	186538440	186546702
CRYZ	13983_27	QOR	Q08257	ENSG00000116791	1	74705481	74733408
CRYZL1	9207_60	QORL1	O95825	ENSG00000205758	21	33589340	33643926
CS	18309_18	CISY	O75390	ENSG00000062485	12	56271698	56300392
CSAG1	5716_49	CSAG1	Q6PB30	ENSG00000198930	X	152727484	152733735
CSDC2	12754_14	CSDC2	Q9Y534	ENSG00000172346	22	41560762	41577741
CSDE1	12735_39	CSDE1	O75534	ENSG00000009307	1	114716912	114758676
CSF1	3738_54	CSF-1	P09603	ENSG00000184371	1	109910241	109930992
CSF1R	13682_47	M-CSF R	P07333	ENSG00000182578	5	150053290	150113372
CSF2	4697_59	GM-CSF	P04141	ENSG00000164400	5	132073789	132076170
CSF2RA	10438_19	CSF2R	P15509	ENSG00000198223	X	1268800	1310381
CSF2RB	11137_43	IL3RB	P32927	ENSG00000100368	22	36913627	36940449
CSF2RB	10512_13	IL3RB	P32927	ENSG00000100368	22	36913627	36940449
CSF3	4840_73	G-CSF	P09919	ENSG00000108342	17	40015360	40017813
CSF3R	2719_3	G-CSF-R	Q99062	ENSG00000119535	1	36466042	36483278
CSGALNACT2	10772_21	CGAT2	Q8N6G5	ENSG00000169826	10	43138485	43185308
CSH1|CSH2	13103_125	CSH	P0DML2|P0DML3	ENSG00000136488|ENSG00000213218	X	NA	NA
CSK	3363_31	CSK	P41240	ENSG00000103653	15	74782056	74803198
CSMD2	9971_5	CSMD2	Q7Z408	ENSG00000121904	1	33513998	34165842
CSN2	16587_1	Beta-casein	P05814	ENSG00000135222	4	69955255	69961007
CSNK1D	11289_31	KC1D	P48730	ENSG00000141551	17	82239022	82273731
CSNK1G2	17436_193	CSNK1G2	P78368	ENSG00000133275	19	1941148	1981338
CSNK1G2	12653_13	CSNK1G2	P78368	ENSG00000133275	19	1941148	1981338
CSNK2A1	3427_63	CSK21	P68400	ENSG00000101266	20	473590	543821
CSNK2A1	5224_20	CSK21	P68400	ENSG00000101266	20	473590	543821
CSNK2A1|CSNK2B	5225_50	CK2-A1:B	P68400|P67870	ENSG00000101266|ENSG00000204435	X	NA	NA
CSNK2A2	13681_173	CSK22	P19784	ENSG00000070770	16	58157906	58197920
CSNK2A2|CSNK2B	5226_36	CK2-A2:B	P19784|P67870	ENSG00000070770|ENSG00000204435	X	NA	NA
CSNK2B	11330_15	CSK2B	P67870	ENSG00000204435	6	31665235	31670343
CSPG4	8951_162	CSPG4	Q6UVK1	ENSG00000173546	15	75674321	75712848
CSRP1	15529_33	Cysteine-rich protein 1	P21291	ENSG00000159176	1	201483529	201509456
CSRP2	12968_2	CSRP2	Q16527	ENSG00000175183	12	76858714	76879060
CSRP3	9171_11	CSRP3	P50461	ENSG00000129170	11	19182029	19210573
CST1	5459_33	CYTN	P01037	ENSG00000170373	20	23747552	23751268
CST2	4324_33	CYTT	P09228	ENSG00000170369	20	23823768	23826731
CST3	2609_59	Cystatin C	P01034	ENSG00000101439	20	23626705	23638473
CST4	14076_74	Cystatin-S	P01036	ENSG00000101441	20	23685639	23689040
CST5	3803_10	CYTD	P28325	ENSG00000170367	20	23875934	23879750
CST6	14711_27	Cystatin M	Q15828	ENSG00000175315	11	66011840	66013505
CST7	3302_58	CYTF	O76096	ENSG00000077984	20	24949229	24959928
CST8	10572_65	CST8	O60676	ENSG00000125815	20	23491100	23496018
CSTL1	6368_9	CST1L	Q9H114	ENSG00000125823	20	23439684	23444930
CT55	9363_11	CX048	Q8WUE5	ENSG00000169551	X	135156540	135171398
CTBP1	11217_16	CTBP1	Q13363	ENSG00000159692	4	1211447	1249953
